# Canonical product concepts. Search maps a query to a concept and ranks that
# concept's products first, so 'jaja' returns eggs - not chocolate eggs or egg cups.
# H = head-noun rule: <concept> TAB <folded head words, | separated>
# O = override rule:  <concept> TAB <contains patterns> TAB <guard head words ('' = any)>
# All patterns are diacritic-folded lowercase (gg_fold). Overrides apply before H rules.
H	jaja	jaja|jaje
H	mlijeko	mlijeko|mlijeka
H	sir	sir|sireva|sirni|sirko
H	jogurt	jogurt|jogurti
H	maslac	maslac
H	pavlaka	pavlaka|vrhnje
H	skuta	skuta
H	kruh	kruh|kruha|kruscic
H	pecivo	pecivo|peciva|kifla|kiflica|zemlja
H	croissant	croissant|kroasan
H	tijesto	tijesto|tijesta
H	keks	keks|keksi
H	napolitanke	napolitanka|napolitanke
H	kolac	kolac|kolaci|torta|torte|rolat|savijaca|strudla
H	tjestenina	tjestenina|spageti|spaghetti|makaroni|penne|fusilli|lazanje|lasagne|njoki|gnocchi|tagliatelle|linguine|farfalle|tortiglioni|puzici|rezanci
H	mlinci	mlinci
H	riza	riza|rize
H	brasno	brasno
H	zitarice	zitarice|musli|muesli|kornfleks|cornflakes
H	griz	griz|krupica
H	meso	meso
H	kobasica	kobasica|kobasice|hrenovke
H	sunka	sunka
H	salama	salama|salame
H	pasteta	pasteta|pastete
H	slanina	slanina|panceta|spek
H	cevapi	cevapi|cevapcici
H	piletina	piletina|pileci|pilece|pile
H	svinjetina	svinjetina|svinjsko|svinjska
H	junetina	junetina|juneci|junece
H	riba	riba|ribe
H	tuna	tuna
H	sardine	sardina|sardine
H	losos	losos
H	skampi	skamp|skampi
H	parizer	parizer
H	narezak	narezak
H	sok	sok|sokovi|nektar
H	voda	voda|vode
H	pivo	pivo|piva
H	vino	vino|vina
H	kava	kava|kave|kafa|cappuccino|espresso
H	caj	caj|cajevi
H	liker	liker|likeri
H	rakija	rakija|loza
H	viski	viski|whisky
H	vodka	vodka|votka
H	gin	gin
H	napitak	napitak|napitci
H	energetski	energetski
H	cokolada	cokolada|cokoladni|cokoladno|cokoladna|cok|coko|cokolade
H	bomboni	bombon|bomboni|zele|gumeni
H	sladoled	sladoled|sladoledi
H	cips	cips|chips|flips|smoki
H	kikiriki	kikiriki
H	orasasti	orah|orasi|ljesnjak|ljesnjaci|badem|badmi|indijski|pistacija|pistacije
H	guma	zvakaca
H	puding	puding
H	krema	krema|kreme
H	ulje	ulje|ulja
H	ocat	ocat
H	sol	sol
H	secer	secer
H	kvasac	kvasac
H	zacin	zacin|zacini|origano|bosiljak|cimet|kurkuma|paprika_zacin
H	majoneza	majoneza
H	kecap	kecap|ketchup
H	senf	senf
H	umak	umak|umaci|sos
H	juha	juha|juhe
H	pekmez	pekmez|dzem|marmelada
H	med	med
H	namaz	namaz
H	masline	maslina|masline
H	konzerva	konzerva
H	rajcica	rajcica|rajcice|paradajz
H	paprika	paprika|paprike
H	krumpir	krumpir|krumpira
H	luk	luk
H	mrkva	mrkva
H	salata	salata|salate
H	kupus	kupus
H	grah	grah
H	gljive	gljiva|gljive|sampinjoni
H	tikvica	tikvica|tikvice
H	krastavac	krastavac|krastavci
H	jabuka	jabuka|jabuke
H	banana	banana|banane
H	naranca	naranca|narance
H	limun	limun
H	jagoda	jagoda|jagode
H	borovnica	borovnica|borovnice
H	grozde	grozde
H	lubenica	lubenica
H	breskva	breskva|breskve
H	kruska	kruska|kruske
H	smokva	smokva|smokve
H	avokado	avokado
H	mandarina	mandarina|mandarine
H	sljiva	sljiva|sljive
H	tresnja	tresnja|tresnje
H	ananas	ananas
H	mango	mango
H	kivi	kivi
H	dinja	dinja
H	pizza	pizza|pizze
H	smrznuto	smrznuto|zamrznuto
H	pelene	pelena|pelene
H	kasica	kasica|kasice
H	hrana_za_pse	pseca
H	hrana_za_macke	macja
H	sampon	sampon|samponi
H	sapun	sapun|sapuni
H	zubna_pasta	zubna|pasta_za_zube
H	dezodorans	dezodorans|deodorant|antiperspirant
H	krema_za_lice	hidratantna
H	britvica	britvica|britvice|zileti
H	ulosci	ulozak|ulosci|tamponi
H	deterdzent	deterdzent|deterdzenti
H	omeksivac	omeksivac
H	toaletni_papir	toaletni|wc_papir
H	salvete	salveta|salvete
H	vrecice	vrecica|vrecice
H	folija	folija
H	svijeca	svijeca|svijece
H	ubrusi	ubrus|ubrusi|rucnici
H	spuzva	spuzva|spuzve
H	zarulja	zarulja|zarulje
H	baterije	baterija|baterije
H	pribor	casa|case|posuda|posude|tanjur|tanjuri|vrc|drzac|kalup|cjedilo|pladanj|poklopac|cetkica|krpa|resetka|pribor|noz|vilica|zlica|lonac|tava
H	igracke	igracka|igracke|igrac|lopta|loptica|plis|puzzle|slagalica
H	dekoracija	dekoracija|dekor|ukras|balon|cestitka|vijenac
H	odjeca	majica|caape|gacice|carape|papuce|grudnjak|potkosulja|hlace
H	papirnica	olovka|olovke|biljeznica|fascikl|ljepilo|skare|flomaster
O	cokolada	cokolad|uskrsn|figuric|zeko|bunny|praline|kinder|zaini|sorini|rocher|oreo|lindor|socado|milka|dolci	jaja
O	dekoracija	dekor|ukras|stiropor|drveni|led|loptic|dinosaur|plast	jaja
O	pribor	vrc|casa|bocic|zagrijac|posuda|drzac|kutija|kalup	mlijeko|jaja|sir|kava|caj|vino|pivo
O	igracke	igracka|plis|slagalica|puzzle	
O	cokolada	cok jaja|cok jaje|cok. jaja|cok. jaje|cokoladna jaja|cokoladno jaje|cokolada jaja|cokolada jaje|kinder jaje|kinder jaja|uskrsno jaje|uskrsna jaja	
